entry_id,bundle_id,component_id,version,size_bytes,record_type,supersedes_id,recorded_at
MFR-0001,BND-101,CMP-201,3.4.1,125000,BUILD,,2026-06-02T09:31:00Z
MFR-0002,BND-101,CMP-202,3.4.1,84250,BUILD,,2026-06-02T09:32:10Z
MFR-0003,BND-101,CMP-203,3.4.1,310000,BUILD,,2026-06-02T09:33:45Z
MFR-0004,BND-101,CMP-204,3.4.1,67525,BUILD,,2026-06-02T09:35:00Z
MFR-0005,BND-101,CMP-205,3.4.1,150000,BUILD,,2026-06-02T09:36:30Z
MFR-0006,BND-101,CMP-202,3.4.1,84250,WITHDRAWAL,MFR-0002,2026-06-02T10:05:00Z
MFR-0007,BND-102,CMP-206,5.1.0,220000,BUILD,,2026-06-02T11:10:00Z
MFR-0008,BND-102,CMP-207,5.1.0,98075,BUILD,,2026-06-02T11:12:20Z
MFR-0009,BND-102,CMP-208,5.1.0,450000,BUILD,,2026-06-02T11:14:05Z
MFR-0010,BND-102,CMP-206,5.1.1,132000,BUILD,,2026-06-02T11:16:40Z
MFR-0011,BND-102,CMP-209,5.1.0,76000,BUILD,,2026-06-02T11:18:55Z
MFR-0012,BND-102,CMP-207,5.1.0,98075,WITHDRAWAL,MFR-0008,2026-06-02T12:02:15Z
MFR-0013,BND-102,CMP-210,5.1.0,187550,BUILD,,2026-06-02T11:20:00Z
MFR-0014,BND-103,CMP-201,2.9.4,330000,BUILD,,2026-06-03T08:00:00Z
MFR-0015,BND-103,CMP-211,2.9.4,54000,BUILD,,2026-06-03T08:03:30Z
MFR-0016,BND-103,CMP-212,2.9.4,275000,BUILD,,2026-06-03T08:05:45Z
MFR-0017,BND-103,CMP-203,2.9.4,110000,BUILD,,2026-06-03T08:08:10Z
MFR-0018,BND-103,CMP-211,2.9.4,54000,WITHDRAWAL,MFR-0015,2026-06-03T09:15:00Z
MFR-0019,BND-103,CMP-205,2.9.4,420000,BUILD,,2026-06-03T08:10:20Z
MFR-0020,BND-104,CMP-206,1.0.3,160000,BUILD,,2026-06-04T13:00:00Z
MFR-0021,BND-104,CMP-208,1.0.3,290000,BUILD,,2026-06-04T13:04:15Z
MFR-0022,BND-104,CMP-206,1.0.3,160000,WITHDRAWAL,MFR-0020,2026-06-04T14:30:00Z
MFR-0023,BND-104,CMP-208,1.0.3,290000,WITHDRAWAL,MFR-0021,2026-06-04T14:32:40Z
MFR-0024,BND-101,CMP-207,3.4.1,198000,BUILD,,2026-06-02T09:40:00Z
MFR-0025,BND-102,CMP-201,5.1.0,65000,BUILD,,2026-06-02T11:22:30Z
MFR-0026,BND-103,CMP-209,2.9.4,345075,BUILD,,2026-06-03T08:12:00Z
MFR-0027,BND-101,CMP-210,3.4.1,72000,BUILD,,2026-06-02T09:42:15Z
MFR-0028,BND-102,CMP-211,5.1.0,115025,BUILD,,2026-06-02T11:25:00Z
MFR-0029,BND-103,CMP-202,2.9.4,260000,BUILD,,2026-06-03T08:14:30Z
MFR-0030,BND-101,CMP-203,3.4.1,89050,BUILD,,2026-06-02T09:45:00Z
MFR-0031,BND-102,CMP-212,5.1.0,302500,BUILD,,2026-06-02T11:28:45Z
MFR-0032,BND-103,CMP-201,2.9.4,142000,BUILD,,2026-06-03T08:16:10Z
MFR-0001,BND-101,CMP-201,3.4.1,125000,BUILD,,2026-06-02T09:31:00Z
MFR-0007,BND-102,CMP-206,5.1.0,220000,BUILD,,2026-06-02T11:10:00Z
MFR-0014,BND-103,CMP-201,2.9.4,330000,BUILD,,2026-06-03T08:00:00Z
MFR-0033,BND-101,CMP-205,3.4.1,134000,BUILD,,2026-06-02T09:48:20Z
MFR-0034,BND-102,CMP-208,5.1.0,210000,BUILD,,2026-06-02T11:31:00Z
MFR-0035,BND-103,CMP-212,2.9.4,197550,BUILD,,2026-06-03T08:18:40Z
MFR-0036,BND-101,CMP-204,3.4.1,56000,BUILD,,2026-06-02T09:50:00Z
MFR-0037,BND-102,CMP-210,5.1.0,430000,BUILD,,2026-06-02T11:33:25Z
